Archivo,Fecha,Diferencia,Clasificacion
AEP_hourly,2004-10-31 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2005-04-03 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2005-10-30 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2006-04-02 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2006-10-29 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2007-03-11 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2007-11-04 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2008-03-09 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2008-11-02 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2009-03-08 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2009-11-01 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2010-03-14 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2010-11-07 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2010-12-10 01:00:00,0 days 02:00:00,Hueco real / anomalía
AEP_hourly,2011-03-13 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2011-11-06 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2012-03-11 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2012-11-04 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2012-12-06 05:00:00,0 days 02:00:00,Hueco real / anomalía
AEP_hourly,2013-03-10 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2013-11-03 03:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2014-03-09 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2014-03-11 15:00:00,0 days 02:00:00,Hueco real / anomalía
AEP_hourly,2015-03-08 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2016-03-13 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2017-03-12 04:00:00,0 days 02:00:00,Cambio horario probable
AEP_hourly,2018-03-11 04:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2011-03-13 04:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2011-11-06 03:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2012-03-11 04:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2012-11-04 03:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2013-03-10 04:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2013-11-03 03:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2014-03-09 04:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2015-03-08 04:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2016-03-13 04:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2017-03-12 04:00:00,0 days 02:00:00,Cambio horario probable
COMED_hourly,2018-03-11 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2004-10-31 03:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2005-04-03 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2005-10-30 03:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2006-04-02 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2006-10-29 03:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2007-03-11 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2007-11-04 03:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2008-03-09 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2008-11-02 03:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2009-03-08 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2009-11-01 03:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2010-03-14 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2010-11-07 03:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2010-12-10 01:00:00,0 days 02:00:00,Hueco real / anomalía
DAYTON_hourly,2011-03-13 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2011-11-06 03:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2012-03-11 04:00:00,0 days 02:00:00,Cambio horario probable
DAYTON_hourly,2012-11-04 03:00:00,0 days 02:00:00,Cambio horario probable
